TRACE STARTED

00:03F2  30 39  MOVE.W  ($00C00004),D0           A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000008 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F Xnzvc
00:03F8  02 40  ANDI.W  #$0008,D0                A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000284 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F Xnzvc
00:03FC  66 EC  BNE     #$EC [00:03EA]           A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XnZvc
00:03FE  4E 75  RTS                              A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XnZvc
00:4BF6  60 C4  BRA     #$C4 [00:4BBC]           A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XnZvc
00:4BBC  11 FC  MOVE.B  #$80,($8A48)             A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XnZvc
00:4BC2  4B F8  LEA     ($8048),A5               A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BC6  10 15  MOVE.B  (A5),D0                  A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BC8  02 00  ANDI.B  #$80,D0                  A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BCC  67 0E  BEQ     #$0E [00:4BDC]           A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BCE  31 CD  MOVE.W  A5,($8A4C)               A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BD2  20 6D  MOVE.L  $000C(A5),A0             A0=00A10005 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BD6  4E 90  JSR     (A0)                     A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:50A2  4A 38  TST.B   ($80C8)                  A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:50A6  6B 22  BMI     #$22 [00:50CA]           A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:50CA  4E 75  RTS                              A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BD8  3A 78  MOVE.W  ($8A4C),A5               A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BDC  4B ED  LEA     $0080(A5),A5             A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BE0  52 38  ADDQ.B  #1,($8A48)               A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F XNzvc
00:4BE4  0C 38  CMPI.B  #$84,($8A48)             A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvc
00:4BEA  65 DA  BCS     #$DA [00:4BC6]           A0=000050A2 A1=FFFF8A7F A2=FFFF8C6E A3=00FF2840 A4=00000000 A5=FFFF80C8 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000080 D2=00002000 D3=00000130 D4=00000100 D5=010000F4 D6=000009FF D7=0000020F xNzvC
