TRACE STARTED

00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8114 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8114 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8214 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000015 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8214 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AB A6=00000000 A7=00FF0C00 D0=00000000 D1=00000015 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8230 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AB A6=00000000 A7=00FF0C00 D0=00000000 D1=00000015 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8230 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AB A6=00000000 A7=00FF0C00 D0=00000000 D1=00000015 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8330 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AB A6=00000000 A7=00FF0C00 D0=00000000 D1=00000014 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8330 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AC A6=00000000 A7=00FF0C00 D0=00000000 D1=00000014 D2=00000000 D3=00000000 D4=00000000 D5=FFFF833C D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AC A6=00000000 A7=00FF0C00 D0=00000000 D1=00000014 D2=00000000 D3=00000000 D4=00000000 D5=FFFF833C D6=00003FFF D7=00000100 xNzvc
